,authors,Published.Year,journal,title,DOI,Country,DiversityMetric,PollutantName,PollutantType,PollutionSource,TaxaGroupAtlas,System,OtherBiodiversity,EcosystemFunction,Multidrivers
219,"Forster, B.; Boxall, A.; Coors, A.; Jensen, J.; Liebig, M.; Pope, L.; Moser, T.; Rombke, J.",2011,Ecotoxicology,Fate and effects of ivermectin on soil invertebrates in terrestrial model ecosystems,10.1007/s10646-010-0575-z,England,"abundance,biomass",ivremectin,Pharmaceuticals,Agricultural/livestock,"Nematodes,Enchytraeids,Acari,Collembola,Earthworms",Grassland,microbes,one,no
223,"Klamerus-Iwan, A.; Blonska, E.; Lasota, J.; Kalandyk, A.; Waligorski, P.",2015,Water Air and Soil Pollution,Influence of Oil Contamination on Physical and Biological Properties of Forest Soil After Chainsaw Use,10.1007/s11270-015-2649-2,Poland,abundance,PAHs,PAH (Polycyclic aromatic hydrocarbons),Agricultural/livestock,Earthworms,Woodland,microbes,none,no
225,"Kapusta, P.; Szarek-Lukaszewska, G.; Stefanowicz, A. M.",2011,Environmental Pollution,Direct and indirect effects of metal contamination on soil biota in a Zn-Pb post-mining and smelting area (S Poland),10.1016/j.envpol.2011.03.015,Poland,abundance,"Zn,Pb",Metals,Mining/Smelting,"Tardigrades,Nematodes,Enchytraeids","Woodland,Grassland,Artifical land (e.g. yards, cemeteries, parkings, open dump sites)",microbes,none,yes
234,"Hui, N.; Selonen, S.; Hanzel, J.; Tuomela, M.; Rainio, A.; Kontio, H.; Hakala, K.; Lankinen, P.; Steffen, K.; Fingerroos, T.; Strommer, R.; Setala, H.; Hatakka, A.; Romantschuk, M.",2009,Boreal Environment Research,Influence of lead on organisms within the detritus food web of a contaminated pine forest soil,,Finland,"abundance,biomass",Pb,Metals,Military/wars,Enchytraeids,Woodland,"plants,microbes",one,no
239,"Hinojosa, M. B.; Carreira, J. A.; Garcia-Ruiz, R.; Rodriguez-Maroto, J. M.; Daniell, T. J.; Griffiths, B. S.",2010,Ecotoxicology and Environmental Safety,"Plant treatment, pollutant load, and soil type effects in rhizosphere ecology of trace element polluted soils",10.1016/j.ecoenv.2010.01.013,,abundance,"Cd, Cu, Pb, Zn",Metals,Mining/Smelting,Nematodes,NA,microbes,several,no
241,"Huuselaveistola, E.; Kurppa, S.; Pihlava, J. M.",1994,Agricultural Science in Finland,EFFECTS OF FENVALERATE AND PERMETHRIN ON SOIL ARTHROPODS AND ON RESIDUES IN AND DECOMPOSITION OF BARLEY STRAW,10.23986/afsci.72697,Finland,abundance,insecticides,Pesticides,Agricultural/livestock,"Nematodes,Enchytraeids,Acari,Collembola,Coleoptera",Cropland,"aboveground invertebrates
",one,yes
248,"Lundgren, J. G.; Hesler, L. S.; Clay, S. A.; Fausti, S. F.",2013,Crop Protection,"Insect communities in soybeans of eastern South Dakota: The effects of vegetation management and pesticides on soybean aphids, bean leaf beetles, and their natural enemies",10.1016/j.cropro.2012.08.005,USA,abundance,multiple pesticides,Pesticides,Agricultural/livestock,"Ants,Myriapoda,Coleoptera,Arachnida (spiders and scorpions),Others",Cropland,"plants,aboveground invertebrates
",one,yes
253,"Liphadzi, K. B.; Al-Khatib, K.; Bensch, C. N.; Stahlman, P. W.; Dille, J. A.; Todd, T.; Rice, C. W.; Horak, M. J.; Head, G.",2005,Weed Science,Soil microbial and nematode communities as affected by glyphosate and tillage practices in a glyphosate-resistant cropping system,10.1614/ws-04-129r1,,abundance,glyphosate,Pesticides,Agricultural/livestock,Nematodes,Cropland,"plants,microbes",one,yes
261,"Larson, J. L.; Redmond, C. T.; Potter, D. A.",2012,Pest Management Science,Comparative impact of an anthranilic diamide and other insecticidal chemistries on beneficial invertebrates and ecosystem services in turfgrass,10.1002/ps.2321,USA,abundance,insecticide in golf turf,Pesticides,Others,"Acari,Collembola,Ants,Earthworms,Coleoptera,Arachnida (spiders and scorpions)",Grassland,"aboveground invertebrates
",one,no
268,"Kools, S. A. E.; Boivin, M. E. Y.; Van Der Wurff, A. W. G.; Berg, M. P.; Van Gestel, C. A. M.; Van Straalen, N. M.",2009,Ecotoxicology and Environmental Safety,Assessment of structure and function in metal polluted grasslands using Terrestrial Model Ecosystems,10.1016/j.ecoenv.2008.03.016,The Netherlands,"abundance,biomass,shannons",Zn,Metals,Waste/sewage,"Nematodes,Enchytraeids,Earthworms",Grassland,microbes,several,no
269,"Kools, S. A. E.; Berg, M. P.; Boivin, M. E. Y.; Kuenen, F. J. A.; van der Wurff, A. W. G.; van Gestel, C. A. M.; van Straalen, N. M.",2008,Science of the Total Environment,Stress responses investigated; application of zinc and heat to Terrestrial Model Ecosystems from heavy metal polluted grassland,10.1016/j.scitotenv.2008.06.057,The Netherlands,biomass,Zn,Metals,Others,"Enchytraeids,Earthworms",Grassland,microbes,several,yes
